file,sct,bs,mbs,RPD,TK
100_20_01,471150,1792110.0,2630248,46.7682229327441,54.62003016471863
100_20_02,465809,1810660.0,2552171,40.95252559840058,50.91991686820984
100_20_03,461654,1679880.0,2427064,44.47841512488988,54.83741641044617
100_20_04,455144,1943480.0,2827485,45.485675180603856,56.59491300582886
100_20_05,472456,1539090.0,2269133,47.433418448563756,51.830485343933105
100_20_06,452529,1660530.0,2346953,41.33758498792554,56.37733244895935
100_20_07,468708,1783580.0,2636733,47.833738884715004,54.7347207069397
100_20_08,466298,1754470.0,2511711,43.160669603925975,54.25301194190979
100_20_09,460800,1852180.0,2515340,35.80429547884115,59.591145038604736
100_20_10,452136,1660070.0,2373720,42.989151059895065,53.639647245407104
100_20_11,458442,1816300.0,2522837,38.899796289159276,58.59235739707947
100_20_12,464110,1711620.0,2451155,43.206728128907116,57.42232060432434
100_20_13,463372,1712830.0,2528659,47.63047120846785,52.71139073371887
100_20_14,462707,1709350.0,2389013,39.76148828502063,47.646931648254395
100_20_15,475382,1449140.0,2291174,58.105773079205605,50.62192416191101
100_20_16,468685,1847320.0,2660566,44.02301712751446,45.45746612548828
100_20_17,458579,1777650.0,2492056,40.18822602874582,45.36077523231506
100_20_18,458237,1824010.0,2510538,37.63839014040493,56.23671054840088
100_20_19,448478,1675710.0,2552972,52.35165989341832,51.74371790885925
100_20_20,445941,1801770.0,2463732,36.73953945287135,57.0854434967041
100_20_21,460210,1709120.0,2460439,43.95940601011046,56.08710789680481
100_20_22,471384,1740800.0,2358437,35.480066636029406,42.45254969596863
100_20_23,461314,1776600.0,2586143,45.56698187549252,56.768423557281494
100_20_24,460560,1692610.0,2520540,48.91439847336362,70.63138937950134
100_20_25,470760,1713800.0,2617834,52.750262574396075,70.31034398078918
100_20_26,479862,1565920.0,2427205,55.00185194645959,66.53426623344421
100_20_27,452992,1862160.0,2616866,40.528526012802345,55.75001072883606
100_20_28,459591,1732590.0,2571695,48.43067315406415,57.416558027267456
100_20_29,466065,1992230.0,2686530,34.85039377983466,55.58744430541992
100_20_30,455948,1770450.0,2574824,45.43330791606653,56.1838493347168
50_20_01,145890,595260.0,773671,29.97194503242281,7.0499958992004395
50_20_02,150319,622342.0,840948,35.12634532138278,7.12595534324646
50_20_03,144606,592745.0,779176,31.452142152190234,7.08905291557312
50_20_04,147258,666621.0,878376,31.765425931676322,7.4480955600738525
50_20_05,143954,653748.0,891106,36.3072621254673,7.284531593322754
50_20_06,151633,643294.0,829404,28.93078436919977,7.21970534324646
50_20_07,151565,565375.0,792741,40.215078487729386,7.08307147026062
50_20_08,158216,532097.0,697221,31.032687649056463,7.0212342739105225
50_20_09,145185,572797.0,738737,28.970123796039427,6.957406282424927
50_20_10,150343,600785.0,825161,37.347137495110566,7.0721025466918945
50_20_11,152366,604272.0,791014,30.90363280112267,6.762926340103149
50_20_12,147494,584199.0,774973,32.65565329622269,6.6881263256073
50_20_13,152245,551945.0,762403,38.13024848490339,6.79284405708313
50_20_14,146553,572954.0,755305,31.826464253674807,6.784862041473389
50_20_15,147192,595368.0,784035,31.68914016205103,7.008360862731934
50_20_16,150993,551243.0,739533,34.157349843898245,7.108004331588745
50_20_17,148812,647036.0,855520,32.22139108179452,6.721036434173584
50_20_18,155845,630186.0,828217,31.424214438276955,7.252560615539551
50_20_19,154605,465508.0,649733,39.5750448971876,8.036063194274902
50_20_20,152681,565240.0,758126,34.12461963059939,7.30448055267334
50_20_21,145967,617905.0,811060,31.25965965641968,6.5863988399505615
50_20_22,151390,642666.0,847591,31.886703201974274,6.809798002243042
50_20_23,150625,602536.0,788638,30.886453257564696,6.08972692489624
50_20_24,150870,552363.0,772263,39.81077660886048,6.844708681106567
50_20_25,148346,587942.0,799069,35.90949447394471,7.037193536758423
50_20_26,146267,600296.0,776030,29.27455788477684,6.31711745262146
50_20_27,148469,563816.0,771982,36.92091036792145,6.413857936859131
50_20_28,150920,549809.0,753970,37.1330771231464,6.829747438430786
50_20_29,149442,545184.0,747143,37.04419058519692,6.864654779434204
50_20_30,147560,509210.0,696131,36.708037941124495,9.575175285339355
