file,sct,bs,mbs,RPD,TK
100_20_01,418018,1792110.0,1859508,3.760818253343824,106.82867336273193
100_20_02,418008,1810660.0,1872409,3.4103034252703432,106.52983331680298
100_20_03,415874,1679880.0,1749378,4.13708122008715,99.27227592468262
100_20_04,411541,1943480.0,2020343,3.954915924012596,98.52569389343262
100_20_05,414772,1539090.0,1619970,5.2550533107225705,100.88738298416138
100_20_06,414597,1660530.0,1725927,3.9383208975447594,95.72817015647888
100_20_07,422196,1783580.0,1861821,4.386739030489242,98.93163585662842
100_20_08,426591,1754470.0,1832015,4.419853289027455,97.04166197776794
100_20_09,421715,1852180.0,1942860,4.895852454944984,98.18560242652893
100_20_10,409398,1660070.0,1737701,4.676369068774208,112.49373149871826
100_20_11,415536,1816300.0,1905331,4.901778340582503,109.63854789733887
100_20_12,408743,1711620.0,1771649,3.5071452775732928,121.12079572677612
100_20_13,412696,1712830.0,1783235,4.110448789430357,121.70218825340271
100_20_14,427087,1709350.0,1784742,4.410565419603944,118.55577898025513
100_20_15,420674,1449140.0,1514541,4.513090522654816,132.9139142036438
100_20_16,412684,1847320.0,1935768,4.787908970833424,132.7112295627594
100_20_17,413871,1777650.0,1856661,4.444688211965236,128.27309322357178
100_20_18,424084,1824010.0,1913952,4.93100366774305,125.24182391166687
100_20_19,410840,1675710.0,1762465,5.177208466858825,121.45850253105164
100_20_20,413833,1801770.0,1869355,3.7510337057449066,133.2646644115448
100_20_21,417481,1709120.0,1798317,5.218884572177496,120.42321634292603
100_20_22,424846,1740800.0,1821519,4.636891084558823,122.4201328754425
100_20_23,410096,1776600.0,1871629,5.3489249127547005,124.1658251285553
100_20_24,410762,1692610.0,1780428,5.188318632171616,119.39816236495972
100_20_25,407094,1713800.0,1784697,4.136830435289999,123.53876376152039
100_20_26,418473,1565920.0,1646972,5.175998773883721,121.72237396240234
100_20_27,414807,1862160.0,1959921,5.249871117412037,122.47658562660217
100_20_28,413699,1732590.0,1829065,5.568253308630432,122.39949107170105
100_20_29,422125,1992230.0,2095117,5.164413747408681,120.14427733421326
100_20_30,404178,1770450.0,1840830,3.975260526984665,124.15563607215881
50_20_01,134993,595260.0,616002,3.4845277693780865,15.284619331359863
50_20_02,137674,622342.0,649927,4.432450324741058,14.902019023895264
50_20_03,134100,592745.0,613349,3.4760310082750587,15.105531215667725
50_20_04,131267,666621.0,692026,3.8110110542572166,15.036243915557861
50_20_05,135228,653748.0,694260,6.196883202701957,14.780050039291382
50_20_06,140600,643294.0,676379,5.143060560179327,14.675707817077637
50_20_07,133552,565375.0,588104,4.02016360822463,14.629225015640259
50_20_08,138188,532097.0,546286,2.6666190562998846,14.860759973526001
50_20_09,133265,572797.0,595601,3.981166102476096,14.981082916259766
50_20_10,134091,600785.0,617944,2.8560966069392544,15.335999727249146
50_20_11,135225,604272.0,620729,2.723442423279583,15.343039751052856
50_20_12,133868,584199.0,599759,2.6634759730845143,15.254170179367065
50_20_13,131969,551945.0,582918,5.6116098524309495,15.911348819732666
50_20_14,133010,572954.0,596297,4.074149059086768,15.337594747543335
50_20_15,139286,595368.0,617488,3.7153491621988417,15.206498861312866
50_20_16,136048,551243.0,566716,2.8069290675799965,15.2118399143219
50_20_17,130968,647036.0,667210,3.1179099771882863,15.209870338439941
50_20_18,138828,630186.0,648979,2.982135433030883,15.292696237564087
50_20_19,134242,465508.0,479631,3.0338898579616247,14.848036527633667
50_20_20,139600,565240.0,585719,3.623062769796901,15.017871856689453
50_20_21,137145,617905.0,645468,4.4607180715482135,15.741447687149048
50_20_22,137225,642666.0,671860,4.5426395670534925,15.813464403152466
50_20_23,136712,602536.0,621310,3.1158304234103857,15.781593322753906
50_20_24,135037,552363.0,573116,3.757130727438297,16.90854501724243
50_20_25,132674,587942.0,610118,3.7718006197890266,15.134735107421875
50_20_26,132443,600296.0,621490,3.5305915748230867,14.635551691055298
50_20_27,134338,563816.0,580625,2.9812917689458973,15.4839346408844
50_20_28,135945,549809.0,565407,2.8369852075902724,18.523534297943115
50_20_29,139022,545184.0,569020,4.372101895873687,14.915695190429688
50_20_30,130049,509210.0,528140,3.717523222246224,15.351043462753296
