file,sct,bs,mbs,RPD,TK
100_20_01,461004,1792110.0,2492306,39.07103916612262,140.79290556907654
100_20_02,460341,1810660.0,2546507,40.63971148641932,141.57375526428223
100_20_03,455996,1679880.0,2419611,44.03475248232017,131.89252734184265
100_20_04,463247,1943480.0,2760151,42.0210653055344,134.9034767150879
100_20_05,465039,1539090.0,2299895,49.43213197408858,130.17311692237854
100_20_06,473079,1660530.0,2482694,49.512143713151815,133.91215229034424
100_20_07,470257,1783580.0,2660522,49.16751701633793,134.91607451438904
100_20_08,474985,1754470.0,2632178,50.02695970862996,152.47728204727173
100_20_09,460688,1852180.0,2582647,39.43822954572449,161.53741645812988
100_20_10,473801,1660070.0,2502089,50.72189726939226,161.63173961639404
100_20_11,458257,1816300.0,2635583,45.10725100478997,168.70130848884583
100_20_12,471039,1711620.0,2673052,56.17087905025648,179.44503808021545
100_20_13,458481,1712830.0,2496258,45.73880653655062,174.89919590950012
100_20_14,464897,1709350.0,2393389,40.01749202913389,164.79461646080017
100_20_15,452926,1449140.0,2267207,56.451895607049686,177.4267921447754
100_20_16,458614,1847320.0,2658398,43.90565792607671,162.65327882766724
100_20_17,446894,1777650.0,2547867,43.327820437093926,167.0837585926056
100_20_18,466604,1824010.0,2574258,41.13179204061381,162.0994575023651
100_20_19,446405,1675710.0,2294971,36.95514140274869,166.72021079063416
100_20_20,470174,1801770.0,2605356,44.5998101866498,162.82466077804565
100_20_21,470917,1709120.0,2361326,38.160339824003,163.84150433540344
100_20_22,464657,1740800.0,2505929,43.952722886029406,162.73653149604797
100_20_23,484578,1776600.0,2723362,53.29066756726332,164.54557371139526
100_20_24,476760,1692610.0,2588614,52.93623457264225,166.50397086143494
100_20_25,457753,1713800.0,2542377,48.347356751079474,170.13523173332214
100_20_26,467290,1565920.0,2466073,57.48397108409114,163.99883437156677
100_20_27,446681,1862160.0,2640632,41.804785840099676,153.65562319755554
100_20_28,457771,1732590.0,2490828,43.763267709036754,170.03833436965942
100_20_29,467366,1992230.0,2797486,40.4198310436044,160.1686155796051
100_20_30,472432,1770450.0,2695972,52.276088000225926,154.15144109725952
50_20_01,149026,595260.0,819979,37.75140274837886,16.716163873672485
50_20_02,154236,622342.0,860367,38.246655375982975,17.20661735534668
50_20_03,149900,592745.0,867011,46.27048730904521,16.317928791046143
50_20_04,150652,666621.0,945593,41.84866663366441,15.847440242767334
50_20_05,140279,653748.0,832034,27.27136450130631,16.13732933998108
50_20_06,153299,643294.0,859501,33.60936057230442,16.819493770599365
50_20_07,152432,565375.0,791328,39.96515586999779,17.088257789611816
50_20_08,152478,532097.0,737563,38.614387978131816,16.87924814224243
50_20_09,145005,572797.0,798929,39.47855872150169,17.23423981666565
50_20_10,144866,600785.0,822969,36.98228151501785,16.971883058547974
50_20_11,152324,604272.0,787316,30.291656737363304,16.762808561325073
50_20_12,156202,584199.0,808188,38.341215921287095,16.81711483001709
50_20_13,153254,551945.0,760957,37.86826585982299,16.420061826705933
50_20_14,149336,572954.0,810990,41.54539456919753,17.447978496551514
50_20_15,152327,595368.0,768246,29.037166928689484,17.747767210006714
50_20_16,152795,551243.0,724952,31.51223689008296,17.950475931167603
50_20_17,141677,647036.0,892289,37.904073343677936,17.462562561035156
50_20_18,150668,630186.0,842216,33.64562208617773,17.080510139465332
50_20_19,147636,465508.0,675672,45.14723699700113,17.52626061439514
50_20_20,154209,565240.0,769982,36.22213572995542,16.76739501953125
50_20_21,152017,617905.0,816292,32.10639175925102,16.879876375198364
50_20_22,150055,642666.0,805921,25.40277531408228,16.688268661499023
50_20_23,151499,602536.0,795251,31.98398104013702,17.01317524909973
50_20_24,146463,552363.0,753401,36.39599321460706,16.573604345321655
50_20_25,143683,587942.0,770994,31.134363593687812,17.119491577148438
50_20_26,153113,600296.0,825654,37.54114636779189,17.58684802055359
50_20_27,152294,563816.0,755005,33.90982164394057,17.805015087127686
50_20_28,152111,549809.0,753369,37.023766435252966,17.34706974029541
50_20_29,148273,545184.0,730801,34.04667048189235,17.449607372283936
50_20_30,148061,509210.0,727609,42.88977042870329,17.729134559631348
