file,sct,bs,mbs,RPD,TK
100_20_01,416827,1792110.0,1855054,3.5122844021851343,261.9067623615265
100_20_02,417062,1810660.0,1867777,3.154485104878884,256.8182418346405
100_20_03,414947,1679880.0,1751551,4.266435697787937,250.95236682891846
100_20_04,410517,1943480.0,2015313,3.6961018379401898,261.1404197216034
100_20_05,415295,1539090.0,1617876,5.118998888953862,297.71004343032837
100_20_06,415404,1660530.0,1718857,3.5125532209595733,312.8576889038086
100_20_07,422455,1783580.0,1864056,4.512048800726627,330.05811977386475
100_20_08,425799,1754470.0,1830071,4.309050596476428,318.4410002231598
100_20_09,423014,1852180.0,1945080,5.01571121597253,310.3827245235443
100_20_10,411280,1660070.0,1736784,4.621130434258797,310.2766811847687
100_20_11,416084,1816300.0,1909614,5.137587402962065,310.0287742614746
100_20_12,408510,1711620.0,1769890,3.404377139785701,308.96530985832214
100_20_13,412677,1712830.0,1782345,4.058487999392818,308.86614084243774
100_20_14,426928,1709350.0,1782391,4.273027759089713,312.1195113658905
100_20_15,420557,1449140.0,1513632,4.450363663966214,303.37024116516113
100_20_16,412377,1847320.0,1932896,4.632440508412187,291.387544631958
100_20_17,413995,1777650.0,1855442,4.3761145332320766,282.7652163505554
100_20_18,422458,1824010.0,1911994,4.823657765034183,284.1749036312103
100_20_19,410326,1675710.0,1757871,4.903056018046082,251.5535147190094
100_20_20,414267,1801770.0,1872016,3.8987218124399896,217.90344762802124
100_20_21,417955,1709120.0,1794829,5.014802939524434,218.41383719444275
100_20_22,422649,1740800.0,1819014,4.492991727941177,220.27225947380066
100_20_23,409284,1776600.0,1869593,5.234323989643139,217.97367668151855
100_20_24,413452,1692610.0,1778970,5.102179474302999,216.50604128837585
100_20_25,405252,1713800.0,1785980,4.21169331310538,215.55239868164062
100_20_26,417062,1565920.0,1641453,4.823554204557067,210.69115781784058
100_20_27,413125,1862160.0,1952141,4.8320767281007,292.06814980506897
100_20_28,413801,1732590.0,1824537,5.306910463525704,299.1217963695526
100_20_29,421314,1992230.0,2091855,5.000677632602661,299.93175983428955
100_20_30,405960,1770450.0,1840094,3.933689175068485,297.1375238895416
50_20_01,134660,595260.0,615278,3.3629002452709744,26.82965326309204
50_20_02,137134,622342.0,644651,3.5846849481474816,26.372018337249756
50_20_03,133849,592745.0,611806,3.2157167078591966,26.574797868728638
50_20_04,130973,666621.0,689567,3.4421357863013617,27.210708618164062
50_20_05,134934,653748.0,694151,6.1802101115414505,26.607696533203125
50_20_06,140561,643294.0,667684,3.7914235170855006,26.48913311958313
50_20_07,134122,565375.0,586970,3.8195887685164713,27.101560592651367
50_20_08,138183,532097.0,546823,2.7675405048327653,27.022589206695557
50_20_09,133154,572797.0,593550,3.6230985846643753,26.732466220855713
50_20_10,133604,600785.0,617728,2.820143645397272,26.85515785217285
50_20_11,135154,604272.0,619976,2.5988296661106256,27.013488054275513
50_20_12,133742,584199.0,598746,2.4900761555565825,26.5652174949646
50_20_13,131778,551945.0,581396,5.3358577394486755,26.7231228351593
50_20_14,132943,572954.0,594791,3.8113007326940727,26.002249002456665
50_20_15,139150,595368.0,615780,3.4284677711936147,24.84988021850586
50_20_16,136274,551243.0,565914,2.661439691751188,24.86993980407715
50_20_17,130520,647036.0,664610,2.716077621647018,25.225231409072876
50_20_18,138913,630186.0,648660,2.931515457341166,24.90043592453003
50_20_19,134176,465508.0,479178,2.9365768150064016,23.89127802848816
50_20_20,138060,565240.0,582798,3.1062911329700658,25.667712926864624
50_20_21,136182,617905.0,641344,3.7933015593011854,24.832196712493896
50_20_22,137133,642666.0,668869,4.077234519952821,25.48464298248291
50_20_23,137134,602536.0,619329,2.7870533876814,24.360743045806885
50_20_24,134839,552363.0,571281,3.424921654781367,24.650437831878662
50_20_25,132317,587942.0,610576,3.849699460150832,25.87856125831604
50_20_26,132689,600296.0,621159,3.4754521102922555,24.9686439037323
50_20_27,134602,563816.0,580398,2.941030407083162,24.709630727767944
50_20_28,135336,549809.0,564705,2.7093045039277275,24.34437322616577
50_20_29,138470,545184.0,567841,4.15584463227094,25.130517721176147
50_20_30,129688,509210.0,525111,3.122680230160445,25.01511025428772
