file,sct,bs,mbs,RPD,TK
100_20_01,473865,1792110.0,2653155,48.046436881664626,1.067838191986084
100_20_02,477424,1810660.0,2701496,49.19951840765246,0.986140251159668
100_20_03,468845,1679880.0,2607554,55.22263495011548,1.0085461139678955
100_20_04,451875,1943480.0,2787796,43.44351369707947,1.0016279220581055
100_20_05,470267,1539090.0,2301204,49.517182231058605,0.9975895881652832
100_20_06,462151,1660530.0,2419517,45.70751507048954,1.0237743854522705
100_20_07,482254,1783580.0,2681577,50.348007939088795,1.0522117614746094
100_20_08,469261,1754470.0,2541980,44.8859199644337,1.0307550430297852
100_20_09,458856,1852180.0,2557592,38.085499249532994,1.0192792415618896
100_20_10,467546,1660070.0,2510645,51.23729722240628,0.9784140586853027
100_20_11,472496,1816300.0,2584638,42.30237295600947,1.0123193264007568
100_20_12,471137,1711620.0,2628183,53.54944438602026,1.033238172531128
100_20_13,470403,1712830.0,2539104,48.24028070503204,1.0396013259887695
100_20_14,468559,1709350.0,2404579,40.67212683183666,1.0515434741973877
100_20_15,475297,1449140.0,2211077,52.57856383786246,1.0360639095306396
100_20_16,468731,1847320.0,2672283,44.65728731351364,1.0401904582977295
100_20_17,462742,1777650.0,2690284,51.339352515962105,1.037235975265503
100_20_18,475105,1824010.0,2719247,49.08070679437064,0.987342357635498
100_20_19,468580,1675710.0,2500749,49.235189859820615,0.9973969459533691
100_20_20,457144,1801770.0,2633080,46.13851934486644,0.9734325408935547
100_20_21,469710,1709120.0,2577169,50.789236566186105,1.003856897354126
100_20_22,471717,1740800.0,2527806,45.20944393382353,1.0142889022827148
100_20_23,452153,1776600.0,2539160,42.92243611392548,1.009960651397705
100_20_24,467836,1692610.0,2728594,61.206302692291786,0.9757182598114014
100_20_25,471262,1713800.0,2571599,50.05245652935,1.032287359237671
100_20_26,475416,1565920.0,2389382,52.58646674159599,1.0801410675048828
100_20_27,455423,1862160.0,2727094,46.44788847360055,0.9900820255279541
100_20_28,461031,1732590.0,2522965,45.61812084797904,0.9913761615753174
100_20_29,484419,1992230.0,2931100,47.12658678967789,1.1020879745483398
100_20_30,452637,1770450.0,2543596,43.66946256601429,1.156987190246582
50_20_01,147973,595260.0,813275,36.62517219366328,0.3065338134765625
50_20_02,149860,622342.0,844352,35.67331145897272,0.2668178081512451
50_20_03,147172,592745.0,805397,35.875798193152214,0.255124568939209
50_20_04,145132,666621.0,913463,37.02883647529856,0.29973769187927246
50_20_05,154518,653748.0,928508,42.02842685560797,0.3021883964538574
50_20_06,151382,643294.0,856548,33.15031696238423,0.2583119869232178
50_20_07,146490,565375.0,759828,34.393632544771165,0.26129984855651855
50_20_08,151005,532097.0,750526,41.05059791729703,0.26517343521118164
50_20_09,154276,572797.0,826266,44.25110466709847,0.27127504348754883
50_20_10,152472,600785.0,825174,37.34930133075892,0.27587437629699707
50_20_11,149613,604272.0,801681,32.6688974501549,0.28043079376220703
50_20_12,155834,584199.0,831539,42.33831280094626,0.276261568069458
50_20_13,154043,551945.0,776617,40.70550507749866,0.24135565757751465
50_20_14,149853,572954.0,833020,45.39038037957673,0.2712736129760742
50_20_15,150807,595368.0,820769,37.85910562878757,0.3151588439941406
50_20_16,150719,551243.0,747990,35.691518985275096,0.2989645004272461
50_20_17,145437,647036.0,879304,35.89722982956125,0.28523778915405273
50_20_18,156775,630186.0,905533,43.69297318569439,0.2732689380645752
50_20_19,148489,465508.0,635175,36.44770873969942,0.30419015884399414
50_20_20,151008,565240.0,799647,41.47034887835256,0.30518221855163574
50_20_21,152113,617905.0,855646,38.475331968506495,0.3548469543457031
50_20_22,153727,642666.0,861153,33.99697510059658,0.3580446243286133
50_20_23,154818,602536.0,839362,39.30487141017301,0.28523874282836914
50_20_24,143430,552363.0,759440,37.48929598832653,0.3341062068939209
50_20_25,149970,587942.0,780502,32.75152991281453,0.3261528015136719
50_20_26,149127,600296.0,813983,35.596938843503864,0.3832712173461914
50_20_27,152857,563816.0,801505,42.15719312683571,0.32230401039123535
50_20_28,153223,549809.0,785344,42.83942241760321,0.36054158210754395
50_20_29,151104,545184.0,757325,38.911816927862894,0.31717538833618164
50_20_30,146883,509210.0,736866,44.70768445238703,0.3186614513397217
