file,sct,bs,mbs,RPD,TK
100_20_01,419339,1792110.0,1861457,3.8695727382805742,38.225358724594116
100_20_02,418821,1810660.0,1872711,3.426982426297593,43.729960441589355
100_20_03,415982,1679880.0,1754525,4.4434721527728165,41.69441604614258
100_20_04,411312,1943480.0,2020102,3.9425154876818898,46.34668159484863
100_20_05,417941,1539090.0,1621765,5.37168066844694,46.905720233917236
100_20_06,416862,1660530.0,1728350,4.084238164923248,48.70340847969055
100_20_07,424245,1783580.0,1866000,4.621043070678074,50.708677530288696
100_20_08,426629,1754470.0,1833844,4.524101295547943,48.168808460235596
100_20_09,422719,1852180.0,1947558,5.149499508687062,47.22819519042969
100_20_10,411282,1660070.0,1737295,4.651912268759751,47.929524660110474
100_20_11,418222,1816300.0,1916190,5.4996421296041405,47.986257553100586
100_20_12,410098,1711620.0,1773009,3.5866021663687038,47.69896388053894
100_20_13,413043,1712830.0,1784331,4.1744364589597325,47.69835805892944
100_20_14,427113,1709350.0,1786673,4.523532336853191,50.05962085723877
100_20_15,420656,1449140.0,1514637,4.519715141394206,49.56014394760132
100_20_16,413770,1847320.0,1938736,4.948574150661498,46.997695446014404
100_20_17,414866,1777650.0,1859939,4.629088965769414,46.09565854072571
100_20_18,424548,1824010.0,1918337,5.171408051490946,48.10837483406067
100_20_19,412063,1675710.0,1763861,5.260516437808451,48.46526527404785
100_20_20,415831,1801770.0,1875731,4.1049079516253455,49.43410015106201
100_20_21,418211,1709120.0,1798511,5.230235442800972,48.65519142150879
100_20_22,424619,1740800.0,1822004,4.664751838235294,47.213422775268555
100_20_23,411383,1776600.0,1873427,5.45012946076776,46.55870294570923
100_20_24,413736,1692610.0,1781453,5.2488759962424885,46.64421582221985
100_20_25,408323,1713800.0,1789975,4.444801026957638,48.60502290725708
100_20_26,418569,1565920.0,1647080,5.182895677940125,48.11587882041931
100_20_27,414813,1862160.0,1960462,5.278923400781888,48.3423957824707
100_20_28,414545,1732590.0,1830601,5.656906711916841,47.64498829841614
100_20_29,422855,1992230.0,2097109,5.2644022025569335,48.72447443008423
100_20_30,406818,1770450.0,1840390,3.9504080883391226,47.92990589141846
50_20_01,134993,595260.0,616002,3.4845277693780865,6.273025274276733
50_20_02,138375,622342.0,649428,4.352269331010923,6.31830358505249
50_20_03,134100,592745.0,613349,3.4760310082750587,6.369426965713501
50_20_04,131153,666621.0,691988,3.805310663780469,6.488032817840576
50_20_05,135734,653748.0,697098,6.6309954294315245,6.421845197677612
50_20_06,142580,643294.0,676327,5.134977164406943,6.496156930923462
50_20_07,134590,565375.0,587820,3.969931461419412,6.54490852355957
50_20_08,138406,532097.0,547398,2.87560350838287,6.384203910827637
50_20_09,133142,572797.0,594861,3.851975481715163,6.494118690490723
50_20_10,134856,600785.0,619750,3.1567033131652766,6.381568670272827
50_20_11,135320,604272.0,621600,2.8675828103900227,6.1077351570129395
50_20_12,134069,584199.0,599970,2.6995938027966497,6.5168962478637695
50_20_13,132110,551945.0,583397,5.6983938617072365,6.406596660614014
50_20_14,133647,572954.0,596545,4.11743351124174,6.183486700057983
50_20_15,139684,595368.0,617947,3.792444336947905,6.371892213821411
50_20_16,136753,551243.0,566860,2.8330518482774387,6.324788808822632
50_20_17,130803,647036.0,666440,2.99890577958568,6.27805495262146
50_20_18,138903,630186.0,648941,2.976105467274741,6.468755006790161
50_20_19,134151,465508.0,480111,3.1370030160598743,6.510995864868164
50_20_20,139260,565240.0,584512,3.4095251574552408,6.338703393936157
50_20_21,137145,617905.0,645468,4.4607180715482135,6.433064699172974
50_20_22,137590,642666.0,672299,4.610948766544364,6.513103485107422
50_20_23,138553,602536.0,623808,3.530411460891964,6.208218812942505
50_20_24,134940,552363.0,572048,3.5637796159409665,6.181180953979492
50_20_25,133294,587942.0,612430,4.165036687292284,6.121512174606323
50_20_26,133400,600296.0,622173,3.6443687780694867,6.110783815383911
50_20_27,134620,563816.0,581312,3.1031400314996382,6.044082164764404
50_20_28,136155,549809.0,565683,2.8871844586028965,6.479581356048584
50_20_29,139463,545184.0,572564,5.022157656864471,6.45357346534729
50_20_30,131262,509210.0,528858,3.858525951964809,6.409377813339233
