file,sct,bs,mbs,RPD,TK
100_20_01,466549,1792110.0,2646361,47.66733068840641,1.4928154945373535
100_20_02,467977,1810660.0,2582818,42.64511283178509,0.9928843975067139
100_20_03,469807,1679880.0,2611423,55.452949020168106,1.0660316944122314
100_20_04,473530,1943480.0,2868055,47.57316771976043,1.5274372100830078
100_20_05,468401,1539090.0,2274504,47.78239089332008,2.3108692169189453
100_20_06,463127,1660530.0,2467716,48.61014254485014,1.4917151927947998
100_20_07,482985,1783580.0,2820529,58.138631292120344,1.4165618419647217
100_20_08,478153,1754470.0,2606849,48.58327586108626,1.241194248199463
100_20_09,449697,1852180.0,2542330,37.26149726268505,1.2346997261047363
100_20_10,461555,1660070.0,2492578,50.14896962176294,1.4172112941741943
100_20_11,475645,1816300.0,2681066,47.611407807080326,1.2631394863128662
100_20_12,457517,1711620.0,2497870,45.936013834846534,1.2805790901184082
100_20_13,455784,1712830.0,2540530,48.323534734912386,1.2748894691467285
100_20_14,479560,1709350.0,2575646,50.679849065434226,1.144704818725586
100_20_15,477179,1449140.0,2363116,63.07023475992658,1.2107651233673096
100_20_16,476369,1847320.0,2793153,51.20027932356062,1.5089945793151855
100_20_17,457660,1777650.0,2729215,53.52937867409221,1.1778523921966553
100_20_18,482104,1824010.0,2891352,58.51623620484537,1.1419453620910645
100_20_19,462937,1675710.0,2577419,53.810563880385025,1.4620904922485352
100_20_20,473803,1801770.0,2635611,46.278992324214535,1.200791358947754
100_20_21,473376,1709120.0,2543282,48.806520314547825,1.2017879486083984
100_20_22,474924,1740800.0,2543038,46.08444393382353,1.1787526607513428
100_20_23,462641,1776600.0,2598132,46.241810199257,1.3987514972686768
100_20_24,467613,1692610.0,2607213,54.03507009884143,1.193009376525879
100_20_25,465204,1713800.0,2570100,49.964990080522824,1.1330204010009766
100_20_26,468945,1565920.0,2509179,60.236729845713704,1.3266661167144775
100_20_27,459683,1862160.0,2790426,49.84888516561413,1.1671054363250732
100_20_28,462316,1732590.0,2596381,49.855476483184134,1.1959664821624756
100_20_29,481550,1992230.0,2900448,45.58800941658343,1.2149007320404053
100_20_30,474622,1770450.0,2628264,48.45174955519783,1.1557223796844482
50_20_01,152983,595260.0,822957,38.25168833786917,0.22201180458068848
50_20_02,153086,622342.0,863515,38.75248657490576,0.17097759246826172
50_20_03,148663,592745.0,820787,38.47219293288007,0.18198108673095703
50_20_04,146567,666621.0,899162,34.88353952245729,0.28134894371032715
50_20_05,152853,653748.0,928774,42.069115316605185,0.18379664421081543
50_20_06,151841,643294.0,853982,32.75143247100082,0.16202569007873535
50_20_07,155131,565375.0,820480,45.12137961529958,0.1605832576751709
50_20_08,151259,532097.0,687825,29.266844203218586,0.17080926895141602
50_20_09,155759,572797.0,861801,50.454873192422454,0.18314194679260254
50_20_10,147741,600785.0,825311,37.37210482951472,0.16896510124206543
50_20_11,147634,604272.0,803554,32.97885720337861,0.15873956680297852
50_20_12,154905,584199.0,828337,41.79021189697346,0.18201017379760742
50_20_13,147853,551945.0,760198,37.73075215827664,0.23215746879577637
50_20_14,151035,572954.0,865400,51.04179393110092,0.19880104064941406
50_20_15,148510,595368.0,837095,40.60127517770521,0.17500948905944824
50_20_16,156889,551243.0,784397,42.29604729674572,0.14430594444274902
50_20_17,144640,647036.0,889092,37.409974097268154,0.16754984855651855
50_20_18,155501,630186.0,869059,37.905158159654455,0.14861059188842773
50_20_19,152469,465508.0,686106,47.38865927116184,0.17187190055847168
50_20_20,158688,565240.0,858470,51.87707876300333,0.14800524711608887
50_20_21,151020,617905.0,879564,42.34615353492849,0.16040563583374023
50_20_22,152246,642666.0,864772,34.560098091388056,0.16757678985595703
50_20_23,146382,602536.0,802212,33.13926470783489,0.3494992256164551
50_20_24,147042,552363.0,756456,36.94907153448004,0.21242952346801758
50_20_25,149802,587942.0,806465,37.16744168642485,0.1495990753173828
50_20_26,153520,600296.0,837298,39.48085611098524,0.17552971839904785
50_20_27,152548,563816.0,802865,42.39840657235694,0.201462984085083
50_20_28,157352,549809.0,769847,40.020807225782036,0.15358781814575195
50_20_29,156237,545184.0,778190,42.73896519340259,0.16360211372375488
50_20_30,143681,509210.0,727805,42.92826142455961,0.23115921020507812
