file,sct,bs,mbs,RPD,TK
100_20_01,417023,1792110.0,1859641,3.768239672787944,63.84492778778076
100_20_02,418758,1810660.0,1873747,3.4841991318082908,74.63415837287903
100_20_03,416133,1679880.0,1754693,4.4534728671095545,63.726903676986694
100_20_04,411324,1943480.0,2020478,3.9618622265214976,79.19172286987305
100_20_05,413678,1539090.0,1620767,5.306837157021357,85.63700318336487
100_20_06,416777,1660530.0,1727644,4.041721619001162,75.6439745426178
100_20_07,424252,1783580.0,1868934,4.785543681808497,70.95826697349548
100_20_08,427528,1754470.0,1832370,4.440087319817381,70.1953477859497
100_20_09,423478,1852180.0,1947998,5.173255299160989,68.4110062122345
100_20_10,409732,1660070.0,1738242,4.708958055985591,84.87772798538208
100_20_11,419372,1816300.0,1916500,5.51670979463745,46.07974290847778
100_20_12,409231,1711620.0,1772545,3.5594933454855635,72.00157952308655
100_20_13,414550,1712830.0,1793805,4.727556149763841,32.04635763168335
100_20_14,427087,1709350.0,1784742,4.410565419603944,58.87067103385925
100_20_15,420959,1449140.0,1517016,4.683881474529722,46.44088816642761
100_20_16,413459,1847320.0,1940145,5.024846805101443,50.288570165634155
100_20_17,414876,1777650.0,1858353,4.5398700531600715,45.044780254364014
100_20_18,424331,1824010.0,1916865,5.090706739546383,45.13537549972534
100_20_19,413398,1675710.0,1766810,5.436501542629691,41.43027997016907
100_20_20,415816,1801770.0,1875668,4.101411389911032,48.67392015457153
100_20_21,417933,1709120.0,1799876,5.310101104662047,56.87998938560486
100_20_22,424135,1740800.0,1821971,4.662856158088236,55.78654599189758
100_20_23,411447,1776600.0,1872987,5.425363053022628,48.93499279022217
100_20_24,410762,1692610.0,1780428,5.188318632171616,51.9003005027771
100_20_25,406992,1713800.0,1788317,4.348056949469016,61.04979181289673
100_20_26,418579,1565920.0,1647071,5.182320935935424,92.50609970092773
100_20_27,414865,1862160.0,1960950,5.305129527000903,47.108094692230225
100_20_28,413776,1732590.0,1830673,5.661062340195893,51.52416515350342
100_20_29,422673,1992230.0,2095944,5.2059250186976405,48.79688501358032
100_20_30,405135,1770450.0,1841516,4.0140077381456685,46.23742985725403
50_20_01,134993,595260.0,616002,3.4845277693780865,8.744630575180054
50_20_02,137674,622342.0,649927,4.432450324741058,5.535205841064453
50_20_03,134100,592745.0,613349,3.4760310082750587,12.064756155014038
50_20_04,131267,666621.0,692026,3.8110110542572166,12.678117275238037
50_20_05,135228,653748.0,694260,6.196883202701957,6.3141255378723145
50_20_06,140600,643294.0,676379,5.143060560179327,5.409543514251709
50_20_07,133552,565375.0,588104,4.02016360822463,8.530203342437744
50_20_08,138188,532097.0,546286,2.6666190562998846,6.80980110168457
50_20_09,133265,572797.0,595601,3.981166102476096,9.001941442489624
50_20_10,134947,600785.0,620528,3.2862005542748234,6.8576719760894775
50_20_11,135238,604272.0,620862,2.745452379061085,6.195444107055664
50_20_12,133868,584199.0,599759,2.6634759730845143,8.33372688293457
50_20_13,131969,551945.0,582918,5.6116098524309495,6.479681015014648
50_20_14,133010,572954.0,596297,4.074149059086768,5.929154634475708
50_20_15,139274,595368.0,617596,3.733489203316268,10.189768075942993
50_20_16,137055,551243.0,567011,2.860444486369895,7.397231340408325
50_20_17,131012,647036.0,667481,3.159793272708165,6.426822900772095
50_20_18,139600,630186.0,649207,3.0183152275677343,6.77588963508606
50_20_19,133843,465508.0,480287,3.1748111740292324,6.014923572540283
50_20_20,139559,565240.0,585738,3.6264241738022784,5.856348514556885
50_20_21,137145,617905.0,645468,4.4607180715482135,11.825397491455078
50_20_22,137664,642666.0,672073,4.575782754961363,7.543839454650879
50_20_23,136712,602536.0,621310,3.1158304234103857,6.337061405181885
50_20_24,135037,552363.0,573116,3.757130727438297,11.784505128860474
50_20_25,132980,587942.0,612160,4.119113790135762,7.08107590675354
50_20_26,133405,600296.0,622602,3.7158335221290826,5.98201322555542
50_20_27,134338,563816.0,580625,2.9812917689458973,6.319113254547119
50_20_28,135945,549809.0,565407,2.8369852075902724,11.125266551971436
50_20_29,138873,545184.0,571912,4.902565005576099,5.3038246631622314
50_20_30,130049,509210.0,528140,3.717523222246224,6.980343580245972
