file,sct,bs,mbs,RPD,TK
100_20_01,463953,1792110.0,2570017,43.40732432718974,23.33791971206665
100_20_02,459447,1810660.0,2582015,42.60076436216628,21.880828142166138
100_20_03,480437,1679880.0,2678302,59.43412624711289,20.710179328918457
100_20_04,459973,1943480.0,2822454,45.226809640438795,20.651066780090332
100_20_05,471823,1539090.0,2362900,53.52578471694313,20.52474021911621
100_20_06,473151,1660530.0,2483236,49.54478389429881,26.597715616226196
100_20_07,462104,1783580.0,2661591,49.22745265140897,26.882664680480957
100_20_08,470997,1754470.0,2676625,52.56031736079843,29.04989242553711
100_20_09,454797,1852180.0,2621831,41.55379066829357,33.97403931617737
100_20_10,477422,1660070.0,2484557,49.66579722541822,28.990944385528564
100_20_11,468929,1816300.0,2743765,51.063425645543134,31.99571919441223
100_20_12,457457,1711620.0,2501548,46.150897979691756,29.883631944656372
100_20_13,472300,1712830.0,2531234,47.780807202115795,30.53952169418335
100_20_14,487306,1709350.0,2550907,49.232573785357005,32.454962730407715
100_20_15,468174,1449140.0,2246613,55.03077687456008,32.83854961395264
100_20_16,475075,1847320.0,2709662,46.680705021328194,30.59769630432129
100_20_17,455428,1777650.0,2573035,44.743622197845475,32.307634592056274
100_20_18,482948,1824010.0,2698838,47.961798455052325,28.840057611465454
100_20_19,477551,1675710.0,2586216,54.335535385001,28.587175130844116
100_20_20,460093,1801770.0,2631026,46.02452033278387,30.141488790512085
100_20_21,468125,1709120.0,2451268,43.42281407976035,26.415061950683594
100_20_22,477646,1740800.0,2508765,44.115636488970594,28.949179649353027
100_20_23,466655,1776600.0,2636277,48.38888888888889,29.116763591766357
100_20_24,470211,1692610.0,2679846,58.32625353743626,30.882650136947632
100_20_25,466621,1713800.0,2640160,54.052981678142146,27.512834072113037
100_20_26,479327,1565920.0,2493672,59.24644937161541,25.687619924545288
100_20_27,458201,1862160.0,2707606,45.40136185934613,22.21777653694153
100_20_28,469691,1732590.0,2625383,51.52938664080944,17.437399864196777
100_20_29,473971,1992230.0,2846875,42.89891227418521,18.31504988670349
100_20_30,466273,1770450.0,2532596,43.048151599875744,17.822370052337646
50_20_01,154958,595260.0,841679,41.396868595235695,0.8876276016235352
50_20_02,163761,622342.0,981533,57.71601466717657,0.8158214092254639
50_20_03,151888,592745.0,874122,47.47016001822031,1.7832331657409668
50_20_04,149284,666621.0,913390,37.01788572517217,0.9544477462768555
50_20_05,145354,653748.0,852676,30.42885026034497,0.9963400363922119
50_20_06,149291,643294.0,833957,29.63854784903948,0.7460081577301025
50_20_07,149212,565375.0,788952,39.544903824894966,0.7599713802337646
50_20_08,151718,532097.0,753567,41.62211025433333,0.7849030494689941
50_20_09,149909,572797.0,775432,35.37640734850218,0.8198096752166748
50_20_10,157322,600785.0,872999,45.309719783283526,0.7749300003051758
50_20_11,152380,604272.0,796755,31.85370164429264,0.8856329917907715
50_20_12,147476,584199.0,790706,35.348742466180184,1.5618259906768799
50_20_13,151365,551945.0,768318,39.201913234108474,1.166882038116455
50_20_14,154038,572954.0,866871,51.29853356464918,0.8716685771942139
50_20_15,150885,595368.0,804945,35.20125367839723,0.8397583961486816
50_20_16,155797,551243.0,740576,34.34655859575541,1.060166835784912
50_20_17,148647,647036.0,909904,40.62648755247003,1.0651533603668213
50_20_18,151675,630186.0,850296,34.92778322590473,0.9574387073516846
50_20_19,148339,465508.0,646340,38.846163760880586,1.0282516479492188
50_20_20,153510,565240.0,809517,43.216509801146415,0.7928802967071533
50_20_21,147361,617905.0,814599,31.8324014209304,1.1888220310211182
50_20_22,157917,642666.0,887993,38.17332798063068,1.1748592853546143
50_20_23,155913,602536.0,870208,44.42423357276578,0.867680549621582
50_20_24,148970,552363.0,766423,38.75350086808857,0.8746621608734131
50_20_25,150508,587942.0,866871,47.44158437396886,1.3214685916900635
50_20_26,153995,600296.0,875408,45.829390833855285,0.8597025871276855
50_20_27,154936,563816.0,778658,38.10498460490657,1.622664213180542
50_20_28,152665,549809.0,773475,40.680672742716105,1.1469342708587646
50_20_29,152576,545184.0,769934,41.22461407524799,1.7483272552490234
50_20_30,148591,509210.0,695444,36.57312307299542,0.8856322765350342
