file,sct,bs,mbs,RPD,TK
100_20_01,419586,1792110.0,1859398,3.754680237262221,140.63233137130737
100_20_02,418879,1810660.0,1873064,3.4464780798162,147.67644596099854
100_20_03,416205,1679880.0,1754119,4.419303759792366,139.17805314064026
100_20_04,411615,1943480.0,2020192,3.9471463560211575,146.83957719802856
100_20_05,418128,1539090.0,1620103,5.263694780682092,141.15676403045654
100_20_06,416750,1660530.0,1726221,3.9560260880562232,139.11923599243164
100_20_07,424245,1783580.0,1866000,4.621043070678074,152.02801966667175
100_20_08,427920,1754470.0,1835276,4.605721385945613,164.16987371444702
100_20_09,423104,1852180.0,1946940,5.116133421157771,172.51698923110962
100_20_10,411282,1660070.0,1737295,4.651912268759751,164.4982602596283
100_20_11,418510,1816300.0,1913805,5.3683312228156135,183.29495215415955
100_20_12,409817,1711620.0,1773168,3.5958916114558144,184.27169966697693
100_20_13,415125,1712830.0,1791592,4.598354769591845,172.69003081321716
100_20_14,427113,1709350.0,1786673,4.523532336853191,186.13868260383606
100_20_15,420431,1449140.0,1517070,4.687607822570628,172.7142195701599
100_20_16,413272,1847320.0,1937380,4.875170517289912,171.98047494888306
100_20_17,414870,1777650.0,1860060,4.635895705003797,168.9698040485382
100_20_18,424476,1824010.0,1918574,5.184401401308106,176.1839096546173
100_20_19,411857,1675710.0,1768105,5.513782217686831,171.51902890205383
100_20_20,414901,1801770.0,1875085,4.069054318808727,182.52298736572266
100_20_21,419558,1709120.0,1802994,5.492534169631155,172.98235511779785
100_20_22,424725,1740800.0,1821704,4.647518382352942,200.25988173484802
100_20_23,410854,1776600.0,1875092,5.543847799166949,176.0568082332611
100_20_24,413736,1692610.0,1781453,5.2488759962424885,176.64166975021362
100_20_25,407295,1713800.0,1789863,4.438265841988564,194.27448964118958
100_20_26,418159,1565920.0,1644683,5.0298227240216615,167.34743094444275
100_20_27,413549,1862160.0,1955527,5.013908579284272,174.6403272151947
100_20_28,414545,1732590.0,1830601,5.656906711916841,151.74526524543762
100_20_29,423133,1992230.0,2098675,5.343007584465648,157.0653200149536
100_20_30,407465,1770450.0,1843365,4.1184444632720485,153.613872051239
50_20_01,134673,595260.0,615427,3.387931324127272,11.122629642486572
50_20_02,138341,622342.0,649903,4.428593924241012,12.252383470535278
50_20_03,134005,592745.0,612297,3.298551653746552,10.976937770843506
50_20_04,131167,666621.0,691540,3.738106060265128,11.414850950241089
50_20_05,134934,653748.0,694151,6.1802101115414505,10.408260107040405
50_20_06,142336,643294.0,674864,4.907553933349293,10.034693479537964
50_20_07,134551,565375.0,587289,3.876011496794164,14.339702129364014
50_20_08,137704,532097.0,546841,2.7709233466830296,13.482072830200195
50_20_09,133154,572797.0,593550,3.6230985846643753,10.375427007675171
50_20_10,135118,600785.0,620344,3.2555739574057267,12.608481645584106
50_20_11,135397,604272.0,622020,2.9370879339105564,9.611166000366211
50_20_12,134009,584199.0,599952,2.6965126609254724,13.274496078491211
50_20_13,132667,551945.0,582828,5.595303879915571,10.041279077529907
50_20_14,133685,572954.0,597184,4.228960789173302,10.340518474578857
50_20_15,140016,595368.0,617846,3.775480039236237,12.033652782440186
50_20_16,136878,551243.0,567042,2.8660681405478163,13.837761402130127
50_20_17,130520,647036.0,664610,2.716077621647018,11.698278665542603
50_20_18,138923,630186.0,648921,2.9729318010872983,10.582236528396606
50_20_19,133866,465508.0,479761,3.0618163382799013,11.269368410110474
50_20_20,139377,565240.0,585432,3.572287877715661,15.809984683990479
50_20_21,137135,617905.0,645356,4.442592307879044,10.86458158493042
50_20_22,137186,642666.0,671419,4.474019163920294,13.892329216003418
50_20_23,138553,602536.0,623808,3.530411460891964,10.660481929779053
50_20_24,134831,552363.0,572733,3.6877922670417824,9.56418752670288
50_20_25,133188,587942.0,611467,4.001245020767354,11.26885724067688
50_20_26,133400,600296.0,622173,3.6443687780694867,10.271654605865479
50_20_27,134773,563816.0,581386,3.1162648807412348,9.919156074523926
50_20_28,136057,549809.0,564789,2.7245825368446135,11.011529684066772
50_20_29,139002,545184.0,569434,4.448039560955569,9.284838438034058
50_20_30,131231,509210.0,528368,3.762298462323992,9.440651178359985
