file,sct,bs,mbs,RPD,TK
100_20_01,475423,1792110.0,2587607,44.38884889878411,0.18520092964172363
100_20_02,467534,1810660.0,2520993,39.230612042017825,0.13353967666625977
100_20_03,470312,1679880.0,2479206,47.58232730909351,0.16585350036621094
100_20_04,463565,1943480.0,2957167,52.15834482474736,0.09079146385192871
100_20_05,465785,1539090.0,2350362,52.711147496247776,0.09705567359924316
100_20_06,462943,1660530.0,2437811,46.809211516804886,0.09674263000488281
100_20_07,473533,1783580.0,2683560,50.45918882248064,0.23404741287231445
100_20_08,487506,1754470.0,2640494,50.500949004542676,0.08602142333984375
100_20_09,481074,1852180.0,2645264,42.81894848232894,0.07415270805358887
100_20_10,463432,1660070.0,2397322,44.41089833561235,0.1092233657836914
100_20_11,467164,1816300.0,2638074,45.24439795188021,0.08178234100341797
100_20_12,475397,1711620.0,2670075,55.99695025765065,0.1077117919921875
100_20_13,460509,1712830.0,2544032,48.5279916862736,0.08876299858093262
100_20_14,468560,1709350.0,2463222,44.102846111094856,0.09435176849365234
100_20_15,472302,1449140.0,2288797,57.9417447589605,0.06284451484680176
100_20_16,470477,1847320.0,2750524,48.892666132559604,0.06482839584350586
100_20_17,457569,1777650.0,2630063,47.95167777684021,0.09497737884521484
100_20_18,476490,1824010.0,2704911,48.29474619108448,0.06972384452819824
100_20_19,472508,1675710.0,2576564,53.75954073198823,0.1656177043914795
100_20_20,470096,1801770.0,2807658,55.82776936012921,0.08629012107849121
100_20_21,477629,1709120.0,2549858,49.191279722898344,0.11919665336608887
100_20_22,475449,1740800.0,2491236,43.10868566176471,0.8497838973999023
100_20_23,457503,1776600.0,2560967,44.14989305414838,0.7230668067932129
100_20_24,469277,1692610.0,2552687,50.81365465169176,0.09773945808410645
100_20_25,469363,1713800.0,2671131,55.86013537168865,0.06582307815551758
100_20_26,478159,1565920.0,2530471,61.59644170838868,0.09075689315795898
100_20_27,463282,1862160.0,2833129,52.14208231301285,0.09675025939941406
100_20_28,482078,1732590.0,2717629,56.853554505105066,0.071807861328125
100_20_29,471075,1992230.0,2779380,39.51100023591654,0.7300498485565186
100_20_30,472344,1770450.0,2663934,50.46649156993984,0.06482672691345215
50_20_01,152250,595260.0,886101,48.85948997076908,0.04088544845581055
50_20_02,153149,622342.0,833038,33.855339989909076,0.03191375732421875
50_20_03,152388,592745.0,875135,47.64105981492886,0.15358853340148926
50_20_04,158324,666621.0,996704,49.51584183516571,0.028008460998535156
50_20_05,156651,653748.0,976552,49.37743595391497,0.03490495681762695
50_20_06,155670,643294.0,883074,37.27378150581227,0.04487895965576172
50_20_07,155743,565375.0,834140,47.53747512712801,0.04388236999511719
50_20_08,153762,532097.0,778457,46.29982879061525,0.06482672691345215
50_20_09,148384,572797.0,758104,32.35125183965698,0.04886960983276367
50_20_10,149778,600785.0,824299,37.20365854673469,0.0478513240814209
50_20_11,151496,604272.0,837942,38.669671935816986,0.05086660385131836
50_20_12,154076,584199.0,823886,41.02831398205063,0.03690028190612793
50_20_13,151706,551945.0,759184,37.547038201270055,0.17254018783569336
50_20_14,150639,572954.0,807741,40.978333339151135,0.04487776756286621
50_20_15,152881,595368.0,819358,37.622109350855276,0.043881893157958984
50_20_16,153661,551243.0,742221,34.64497508358383,0.05485248565673828
50_20_17,140487,647036.0,831850,28.56317113730921,0.0638282299041748
50_20_18,157674,630186.0,894078,41.875255876836356,0.03091740608215332
50_20_19,152291,465508.0,673666,44.71630992378217,0.0498652458190918
50_20_20,157059,565240.0,842421,49.0377538744604,0.03390789031982422
50_20_21,148342,617905.0,802970,29.9503969056732,0.03986692428588867
50_20_22,155106,642666.0,852636,32.67171438974522,0.039893388748168945
50_20_23,151805,602536.0,825263,36.96492823665308,0.09973335266113281
50_20_24,158822,552363.0,782358,41.63837910939002,0.02892279624938965
50_20_25,154048,587942.0,794532,35.137819716910855,0.0329136848449707
50_20_26,147292,600296.0,797166,32.79548755947066,0.051862478256225586
50_20_27,148770,563816.0,823381,46.037182343175786,0.03490734100341797
50_20_28,158979,549809.0,789548,43.604051588824476,0.06482601165771484
50_20_29,149888,545184.0,731854,34.239816282209304,0.03191184997558594
50_20_30,144725,509210.0,719241,41.24644056479645,0.03191375732421875
