file,sct,bs,mbs,RPD,TK
100_20_01,419913,1792110.0,1862477,3.9264888874008848,43.55028748512268
100_20_02,418821,1810660.0,1872711,3.426982426297593,49.417017221450806
100_20_03,416008,1679880.0,1754970,4.469962140152868,58.021212577819824
100_20_04,411862,1943480.0,2020624,3.9693745240496434,59.90703749656677
100_20_05,418278,1539090.0,1621942,5.3831809705735205,61.38108706474304
100_20_06,416846,1660530.0,1728494,4.092910094969678,67.46456813812256
100_20_07,424245,1783580.0,1866000,4.621043070678074,63.42170524597168
100_20_08,426736,1754470.0,1835040,4.59227003026555,59.81296420097351
100_20_09,423243,1852180.0,1948012,5.174011165221524,60.807106256484985
100_20_10,411282,1660070.0,1737295,4.651912268759751,57.593613624572754
100_20_11,418029,1816300.0,1916292,5.505257941969938,59.691102504730225
100_20_12,410374,1711620.0,1773727,3.628550729718045,53.55309057235718
100_20_13,415394,1712830.0,1793931,4.734912396443313,37.96168303489685
100_20_14,427113,1709350.0,1786673,4.523532336853191,35.7733998298645
100_20_15,420656,1449140.0,1514637,4.519715141394206,34.566619634628296
100_20_16,413770,1847320.0,1938736,4.948574150661498,28.0660297870636
100_20_17,414753,1777650.0,1860311,4.650015469861897,34.56362724304199
100_20_18,424548,1824010.0,1918337,5.171408051490946,37.37013030052185
100_20_19,412063,1675710.0,1763861,5.260516437808451,35.03836178779602
100_20_20,415831,1801770.0,1875731,4.1049079516253455,37.97946524620056
100_20_21,418211,1709120.0,1798511,5.230235442800972,38.20190715789795
100_20_22,424586,1740800.0,1822007,4.664924172794118,38.7675564289093
100_20_23,412091,1776600.0,1875711,5.5786896318811205,36.308964014053345
100_20_24,413736,1692610.0,1781453,5.2488759962424885,36.625123023986816
100_20_25,408323,1713800.0,1789975,4.444801026957638,39.59418797492981
100_20_26,418607,1565920.0,1647095,5.183853581281292,37.24646067619324
100_20_27,414813,1862160.0,1960462,5.278923400781888,40.047972440719604
100_20_28,414545,1732590.0,1830601,5.656906711916841,35.63077688217163
100_20_29,422855,1992230.0,2097109,5.2644022025569335,43.584919691085815
100_20_30,406818,1770450.0,1840390,3.9504080883391226,37.32525157928467
50_20_01,134993,595260.0,616002,3.4845277693780865,4.732351541519165
50_20_02,138375,622342.0,649428,4.352269331010923,4.516928195953369
50_20_03,134100,592745.0,613349,3.4760310082750587,5.202097177505493
50_20_04,131275,666621.0,691990,3.8056106843318767,5.02856183052063
50_20_05,135744,653748.0,697321,6.665106432447977,4.621648788452148
50_20_06,142580,643294.0,676327,5.134977164406943,4.508951425552368
50_20_07,134590,565375.0,587820,3.969931461419412,4.628631114959717
50_20_08,138406,532097.0,547398,2.87560350838287,4.708415746688843
50_20_09,133327,572797.0,595611,3.982911921675567,4.4850122928619385
50_20_10,134901,600785.0,620324,3.252244979485173,4.4830193519592285
50_20_11,135320,604272.0,621600,2.8675828103900227,4.907883405685425
50_20_12,134069,584199.0,599970,2.6995938027966497,5.484342575073242
50_20_13,132110,551945.0,583397,5.6983938617072365,5.243979454040527
50_20_14,133685,572954.0,597184,4.228960789173302,5.349600791931152
50_20_15,139684,595368.0,617947,3.792444336947905,7.124005079269409
50_20_16,137067,551243.0,566955,2.8502856272097787,5.671841621398926
50_20_17,130803,647036.0,666440,2.99890577958568,5.454421758651733
50_20_18,138997,630186.0,649083,2.9986384972055866,6.010936260223389
50_20_19,134151,465508.0,480111,3.1370030160598743,5.352693557739258
50_20_20,139260,565240.0,584512,3.4095251574552408,4.6306233406066895
50_20_21,137145,617905.0,645468,4.4607180715482135,4.857017993927002
50_20_22,137763,642666.0,672424,4.630398994189828,4.883946657180786
50_20_23,138553,602536.0,623808,3.530411460891964,4.593724250793457
50_20_24,134831,552363.0,572733,3.6877922670417824,4.991660118103027
50_20_25,133294,587942.0,612430,4.165036687292284,5.1312854290008545
50_20_26,133400,600296.0,622173,3.6443687780694867,4.729345321655273
50_20_27,134681,563816.0,581386,3.1162648807412348,6.139942646026611
50_20_28,136155,549809.0,565683,2.8871844586028965,5.517616510391235
50_20_29,139463,545184.0,572564,5.022157656864471,5.514941215515137
50_20_30,131262,509210.0,528858,3.858525951964809,6.2084081172943115
