,job,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,w
0,1,79,62,17,74,9,63,28,31,81,8,77,16,54,81,28,45,78,76,66,48,6
1,2,31,85,87,19,10,42,63,2,83,17,79,6,59,1,81,5,37,52,28,32,1
2,3,3,69,39,84,20,19,8,31,63,12,68,66,56,4,92,79,28,30,34,90,9
3,4,86,8,17,95,15,91,32,10,39,48,17,6,35,46,60,25,14,32,33,77,2
4,5,45,6,15,48,95,83,1,8,87,17,65,9,91,45,38,95,76,6,23,53,5
5,6,70,83,61,92,30,89,98,93,80,71,36,21,50,73,33,83,14,93,19,53,5
6,7,82,23,59,84,93,84,50,5,83,37,42,21,33,11,32,16,23,71,10,64,4
7,8,95,15,67,58,20,65,9,9,72,13,21,60,73,75,87,73,33,16,70,36,10
8,9,63,44,1,3,3,92,66,46,88,2,24,51,87,20,55,25,65,78,74,2,10
9,10,10,65,24,40,69,82,92,37,98,88,70,37,19,35,31,78,98,36,30,2,10
10,11,83,21,1,35,79,52,31,41,75,70,80,54,20,47,27,86,90,58,18,95,7
11,12,65,29,9,15,65,32,46,6,27,42,84,29,76,36,84,56,4,24,4,96,1
12,13,3,55,94,39,19,72,65,36,38,2,31,92,32,94,7,8,36,79,10,8,10
13,14,90,91,55,32,15,5,86,75,69,97,82,68,80,18,88,12,31,27,9,52,5
14,15,62,85,53,75,26,10,32,40,60,23,81,59,45,16,16,96,78,82,58,47,5
15,16,20,46,93,84,52,86,17,97,27,95,31,94,79,15,99,9,58,82,41,60,9
16,17,59,11,7,59,74,55,94,34,25,19,21,47,90,6,77,46,80,25,39,13,6
17,18,2,6,18,12,89,57,84,27,43,58,88,49,9,11,40,4,45,69,95,56,3
18,19,95,32,27,97,14,77,55,84,11,34,98,65,37,61,1,73,25,27,6,30,1
19,20,64,19,56,77,7,46,86,47,59,63,3,23,96,77,56,39,6,50,59,16,6
20,21,87,49,19,60,96,54,19,37,37,68,10,48,1,73,82,65,26,61,37,79,9
21,22,6,14,74,70,78,34,65,4,95,46,71,59,53,68,12,66,22,9,32,48,7
22,23,78,79,83,67,99,99,85,21,60,58,34,54,97,2,71,91,79,18,27,33,6
23,24,32,90,50,70,42,77,80,39,80,82,39,44,29,18,17,74,55,46,35,91,9
24,25,68,70,71,91,19,76,95,30,34,95,94,30,48,56,22,71,17,16,84,92,8
25,26,71,72,42,14,62,1,47,66,87,81,49,4,78,61,17,12,2,98,58,10,8
26,27,51,17,62,66,31,70,55,47,86,11,59,98,83,43,39,35,19,44,57,77,7
27,28,8,48,63,94,52,25,37,16,65,50,1,7,27,5,82,13,96,64,99,62,9
28,29,95,92,76,63,52,3,97,20,8,77,67,57,1,58,32,87,75,38,65,52,2
29,30,13,60,26,40,34,25,8,69,82,70,70,82,21,87,2,75,71,49,56,52,7
30,31,98,40,1,31,43,88,72,5,63,26,18,51,64,18,74,2,23,34,28,83,10
31,32,30,3,63,56,11,91,54,89,55,10,76,50,17,67,74,30,61,2,78,22,7
32,33,26,61,27,15,69,32,17,51,71,93,17,68,51,77,54,62,71,50,70,21,10
33,34,7,22,39,95,14,93,16,64,47,20,19,62,23,47,61,87,16,34,94,79,9
34,35,83,19,13,41,63,37,8,89,59,79,59,36,11,61,31,89,29,77,99,94,2
35,36,90,43,97,43,92,46,49,36,26,21,95,39,74,57,77,6,65,98,10,53,5
36,37,47,16,83,17,4,22,68,67,93,84,37,5,34,55,28,48,9,97,27,90,7
37,38,75,17,23,69,68,37,86,17,2,97,92,42,73,96,74,32,87,4,53,7,10
38,39,63,30,31,91,30,43,52,81,55,8,77,47,7,74,73,41,87,98,8,26,3
39,40,37,33,45,37,46,87,9,17,12,88,55,70,65,63,20,45,19,51,59,36,5
40,41,15,19,16,30,64,95,15,64,97,28,14,28,37,7,1,28,89,85,68,24,9
41,42,86,18,38,79,54,1,44,57,28,26,35,72,73,69,72,43,8,64,5,59,2
42,43,64,41,38,20,42,26,19,94,20,43,30,19,1,41,77,26,18,32,54,36,1
43,44,72,11,8,81,44,2,99,85,7,17,45,40,68,42,48,58,37,31,94,59,9
44,45,79,38,67,68,93,49,68,49,63,70,6,24,49,47,52,92,55,25,53,92,9
45,46,31,51,38,98,42,54,33,43,17,54,7,91,78,27,8,59,19,60,95,5,2
46,47,77,25,25,85,37,85,56,49,36,68,62,76,66,77,51,6,19,32,46,82,5
47,48,95,26,32,30,42,47,33,66,7,70,8,32,74,71,18,13,76,63,15,32,2
48,49,86,9,99,9,40,47,11,8,95,29,76,11,85,54,7,59,65,64,32,8,7
49,50,49,46,77,73,88,51,1,98,83,41,80,17,13,62,46,91,24,52,21,67,2
